phish_id,url,phish_detail_url,submission_time,verified,verification_time,online,target
9024843,https://docs.google.com/presentation/d/e/2PACX-1vQYEE5xujyLOMTLuScfOLQtVhlDHNOajS7U86Ck3i3k4p0idqpI4KUOPpjYROheEgvLjrHomOJvlun5/pub?start=false&amp;loop=false&amp;delayms=3000,http://www.phishtank.com/phish_detail.php?phish_id=9024843,2025-03-18T19:01:23+00:00,yes,2025-03-18T19:02:36+00:00,yes,Other
9024832,https://occidentenlinea.webcindario.com/?,http://www.phishtank.com/phish_detail.php?phish_id=9024832,2025-03-18T18:40:33+00:00,yes,2025-03-18T18:52:42+00:00,yes,Other
9024825,https://gmailwrwi.ebforms.com/5862034020499456,http://www.phishtank.com/phish_detail.php?phish_id=9024825,2025-03-18T18:25:24+00:00,yes,2025-03-18T18:32:16+00:00,yes,Other
9024814,https://softwarescrm.com/ovaavarre/DKR/signin.php?195.128.225.245#,http://www.phishtank.com/phish_detail.php?phish_id=9024814,2025-03-18T18:17:04+00:00,yes,2025-03-18T18:22:56+00:00,yes,Other
9024805,https://docs.google.com/presentation/d/e/2PACX-1vTJUVnL7QAqMcYC0OmExcCxpgZSPkHN36UgovpCjp5hZ1NIo9Fr05qok0eQDWOelnRGGcH4dpyzMwn0/pub?start=false&amp;loop=false&amp;delayms=3000,http://www.phishtank.com/phish_detail.php?phish_id=9024805,2025-03-18T18:12:25+00:00,yes,2025-03-18T18:22:56+00:00,yes,Other
9024782,https://link.space/@deskpages,http://www.phishtank.com/phish_detail.php?phish_id=9024782,2025-03-18T18:01:26+00:00,yes,2025-03-18T18:04:06+00:00,yes,Other
9024781,https://docs.google.com/presentation/d/e/2PACX-1vQOaVzD_kDCuD5l3nwxiciq4iX4jcIVMSPgFrsxjf0G-coQg87cteELcR7zONDGk6PCSIeGh8nq8pTP/pub?start=false&amp;loop=false&amp;delayms=3000,http://www.phishtank.com/phish_detail.php?phish_id=9024781,2025-03-18T17:59:59+00:00,yes,2025-03-18T18:04:06+00:00,yes,Other
9024768,https://cansul.top/,http://www.phishtank.com/phish_detail.php?phish_id=9024768,2025-03-18T17:38:53+00:00,yes,2025-03-18T17:42:45+00:00,yes,Other
9024761,https://vi2e54ku.odoo.com/,http://www.phishtank.com/phish_detail.php?phish_id=9024761,2025-03-18T17:31:08+00:00,yes,2025-03-18T17:42:45+00:00,yes,Other
9024757,https://phantom--wallet--cdn--sso.webflow.io,http://www.phishtank.com/phish_detail.php?phish_id=9024757,2025-03-18T17:29:32+00:00,yes,2025-03-18T17:32:37+00:00,yes,Other
